id;votes;priority;severity;precedence
236367;28;0.6;0.4;
117283;140;0.8;0.6;
201057;96;0.6;0.2;
345930;30;0.6;1.0;
343888;126;0.6;0.6;
329910;69;0.6;0.2;
160005;68;0.6;0.6;
345908;45;0.6;0.4;
310073;48;0.6;0.4;
323153;14;0.6;0.2;
292485;0;0.6;0.2;
146477;83;0.6;0.4;
261459;64;0.6;0.2;
280378;94;0.6;0.4;
345731;33;0.6;0.4;
277348;37;0.6;0.4;
302579;37;0.6;0.2;
335121;14;0.6;0.4;
323603;37;0.6;0.8;
341196;105;0.6;1.0;
328179;20;0.6;1.0;
297883;62;0.6;0.4;
333409;136;0.6;0.6;
133593;75;0.6;1.0;
199989;0;0.6;0.6;
267975;57;0.6;0.4;
344267;23;0.6;0.4;
341129;2;0.6;0.2;
343979;24;0.6;0.8;
138956;98;0.6;1.0;
334485;36;0.6;0.8;
189178;0;0.6;0.2;
342986;5;0.6;1.0;
338777;102;0.6;1.0;
175347;41;0.6;0.4;
333677;0;0.6;0.4;
129204;0;0.6;1.0;
328312;45;0.6;0.4;
121088;74;0.6;0.4;
344074;17;0.6;0.8;
335545;85;0.6;0.4;
243499;17;0.6;0.6;
259599;7;0.6;0.4;
172630;52;0.6;0.8;
163654;106;0.6;0.6;
315189;100;0.6;0.4;
345534;0;0.6;0.2;
193723;0;0.6;0.2;
312169;70;0.6;0.4;
339061;40;0.6;0.6;
344551;13;0.6;0.8;
326064;2;0.6;0.8;
342006;89;0.6;0.4;
192458;24;0.8;0.4;
314395;82;0.6;0.6;
153197;72;0.6;0.4;
333402;40;0.6;1.0;
318232;26;0.6;0.8;
339894;90;0.6;1.0;
334028;38;0.6;1.0;
323815;57;0.6;0.2;
314752;31;0.6;0.6;
89576;97;0.6;1.0;300453,
196808;22;0.6;0.8;
173699;51;0.6;0.6;
330357;89;0.6;1.0;
207533;97;0.6;0.2;
330862;52;0.6;0.4;
88391;37;0.6;0.2;
346102;46;0.6;0.4;
112525;95;0.6;1.0;
331929;110;0.6;1.0;
343725;0;0.6;1.0;
343506;26;0.6;0.2;
346101;15;0.6;0.6;
59974;36;0.6;0.8;
330843;170;0.6;0.4;
344636;45;0.6;1.0;
338270;79;0.6;0.6;
324376;24;0.6;0.8;
268913;20;0.6;0.6;
338369;87;0.6;1.0;
143647;60;0.6;0.2;
333130;21;0.6;0.8;
288835;51;0.6;0.6;
162702;29;0.6;1.0;
340366;42;0.6;1.0;
306373;99;0.6;0.2;
319396;38;0.6;0.8;
332623;89;0.6;0.6;
338111;26;0.6;1.0;
215723;73;0.6;0.8;
339066;89;0.6;0.6;
333464;95;0.6;0.2;
318618;49;0.6;0.4;
248756;27;0.2;0.2;
309493;40;0.6;0.8;
101457;74;0.6;0.4;
318595;0;0.6;1.0;
189471;76;0.6;1.0;
269408;64;0.6;0.6;
156262;85;0.6;0.6;
343255;23;1.0;0.2;
134346;39;0.6;0.6;
317576;10;0.6;0.6;
341617;27;0.6;0.2;
177367;33;0.6;0.2;
201055;13;0.6;1.0;
178581;33;0.6;0.6;
338031;20;0.6;0.2;
214532;36;0.6;0.4;
300453;84;0.6;0.6;
344481;66;0.6;0.4;
104523;102;0.6;1.0;
119787;39;0.6;0.4;
283145;29;0.6;0.6;
332949;29;0.6;0.6;
324940;5;0.6;0.4;
336676;40;0.6;0.8;
344584;18;0.6;0.6;
342937;8;0.6;0.6;
126323;51;0.6;0.2;
200317;48;0.6;0.8;
343088;19;0.6;0.2;
296156;86;0.6;0.2;
324024;34;0.6;0.4;
176095;83;0.6;0.4;
328184;110;0.6;0.8;
241502;118;1.0;0.2;
338442;92;0.6;1.0;
179839;29;0.6;0.4;
161961;7;0.6;0.4;
244699;13;0.6;0.2;
86649;21;0.6;0.8;
244424;69;0.6;0.6;
337730;41;0.6;0.6;
156532;119;0.6;0.4;
313455;222;0.6;0.2;
333450;76;0.6;0.2;
334550;66;0.6;0.2;
279318;44;0.6;0.4;
323649;28;0.6;0.4;
340670;36;0.6;0.8;
125125;85;0.6;1.0;
111553;118;0.6;0.2;
214695;50;0.6;0.8;
333656;103;0.6;0.2;
203355;75;0.6;0.8;
338236;43;0.6;0.8;
186079;13;0.6;0.2;
343286;106;0.6;0.8;
323404;57;0.6;0.6;
332414;20;0.6;1.0;
248777;29;0.6;0.8;
310314;58;0.6;0.6;
129368;2;0.6;0.8;
238249;42;0.6;0.6;
205447;105;0.6;0.6;
107744;61;0.6;0.4;
102868;20;0.6;0.2;
307102;36;0.6;0.8;
313581;38;0.6;0.2;
344632;42;0.6;0.8;
141855;140;0.6;0.2;
320376;89;0.6;0.6;
242506;47;0.6;1.0;
145294;14;0.6;0.8;
330634;22;0.6;0.8;
154899;75;0.6;0.4;
186066;17;0.6;0.4;
304342;48;0.6;0.4;
126740;80;0.6;0.2;
310785;81;0.6;0.4;
343158;24;0.6;0.2;
78259;95;0.6;0.2;
168683;52;0.6;0.4;
298559;51;0.6;1.0;
206961;73;0.6;0.6;
226771;1;0.6;0.6;
159906;94;0.6;1.0;
126811;29;0.6;0.8;
148446;79;0.6;0.4;
181974;18;0.6;0.8;
341301;2;0.6;0.6;
278483;0;0.6;1.0;
344112;55;0.6;0.2;
293133;78;0.6;1.0;
166670;53;0.6;1.0;
294050;27;0.6;0.4;
325877;198;0.6;0.6;
328104;247;0.6;0.4;
318711;0;0.6;0.2;
330275;9;0.6;1.0;
330750;86;0.6;0.4;
109338;156;0.6;0.8;
272421;84;0.6;0.2;
332605;48;0.6;0.4;
345541;36;0.6;0.4;
92337;67;0.6;0.4;
186081;116;0.6;0.4;
344505;99;0.6;1.0;
344502;172;0.6;0.8;
76205;53;0.6;0.2;
125738;123;0.6;0.6;
189569;0;0.6;0.4;
330203;8;0.6;1.0;
317964;95;0.6;0.8;
