id;votes;priority;severity;precedence
197068;10;0.6;0.4;
332717;45;0.6;0.6;
344826;0;0.6;0.6;
129368;0;0.6;0.2;
104491;32;0.6;0.4;
323404;13;0.6;1.0;
338819;30;0.6;0.2;
153183;22;0.6;0.2;
315727;17;0.6;0.4;
330634;22;0.6;1.0;
307052;0;0.6;1.0;
235862;61;0.6;0.2;
101118;20;0.6;1.0;
120384;0;0.6;0.4;
328891;114;0.6;1.0;
339603;37;0.6;0.8;
342265;20;0.6;0.8;
205305;0;0.6;0.2;
332298;34;0.6;0.4;
345775;0;0.6;0.2;
86649;0;0.6;0.6;
160529;128;0.6;0.8;
330852;18;0.6;0.2;
344502;83;0.6;0.8;
333941;60;0.6;0.4;
341196;42;0.6;0.6;
227290;20;0.6;0.2;
284250;40;0.6;0.4;
321136;20;0.6;1.0;
343286;69;0.6;0.8;
327803;0;0.6;1.0;
145294;0;0.6;1.0;
248777;20;0.6;0.6;
344267;0;0.6;0.6;
346102;0;0.6;1.0;
344584;0;0.6;0.2;
336085;0;0.6;0.6;
283227;11;0.6;0.6;
101457;50;0.6;0.2;
331736;25;0.6;0.8;
345003;2;0.6;0.2;
343506;0;0.6;0.6;
334032;3;0.6;0.4;
330843;120;0.6;0.2;
333627;12;0.6;0.4;
330275;0;0.6;1.0;
339394;0;0.6;0.6;
342507;0;0.6;1.0;
82430;40;0.6;0.4;
335988;23;0.6;0.4;
322004;0;0.6;0.6;
339066;80;0.6;0.8;
292766;25;0.6;1.0;
345602;0;0.6;1.0;
328348;18;0.6;0.4;
140514;10;0.6;0.6;
343629;60;0.6;0.6;
162376;29;0.6;0.8;
129204;0;0.6;0.6;
288835;0;0.6;0.6;
107710;55;0.6;0.6;
344720;0;0.6;0.4;
331465;0;0.6;0.2;
186084;0;0.6;1.0;
312169;41;0.6;1.0;
333130;0;0.6;0.8;
146239;98;0.6;0.8;
345254;0;0.6;1.0;
345930;0;0.6;1.0;
146192;1;0.6;1.0;
326064;2;0.6;0.4;
127812;49;0.6;0.4;
318457;20;0.6;0.2;
259599;0;0.6;1.0;
315189;30;0.6;0.4;
309096;14;0.6;0.2;
226866;26;0.6;0.4;
243740;5;0.6;1.0;
127549;95;0.6;0.6;
269361;58;0.6;0.4;
340778;0;0.6;0.6;
313022;0;0.6;0.1;
345542;0;0.6;0.4;
