id;votes;priority;severity;precedence
333409;136;0.6;0.1;
197168;30;0.6;0.1;
333677;0;0.6;0.1;
345731;0;0.6;0.6;
166624;73;0.6;0.6;
171662;34;0.6;0.4;
323153;0;0.6;0.6;
332281;26;0.6;0.55;
215599;21;0.6;0.2;
319014;0;0.6;0.1;
333577;0;0.8;0.7;
128193;1;0.6;0.2;
307052;10;0.6;1.0;
324940;4;0.6;0.1;
346464;44;0.6;0.4;
269361;77;0.6;0.4;
278483;0;0.6;0.1;
345931;0;0.6;0.4;
333393;14;0.6;0.4;
342466;0;0.6;0.4;
315519;65;0.6;0.1;
179775;74;0.6;0.6;
188241;2;0.6;0.1;
288835;0;0.6;0.6;
323649;5;0.6;1.0;
344826;0;0.6;0.6;
162702;20;0.6;0.1;
344505;12;0.6;0.1;
226771;0;0.6;0.1;
344636;9;0.6;0.7;
241829;2;0.6;0.1;
214532;8;0.6;1.0;
324087;0;0.6;0.1;
111553;67;0.6;0.6;
148446;0;0.6;0.4;
342811;38;0.6;0.6;
331803;0;0.6;0.4;
196808;22;0.6;1.0;
176810;0;0.6;0.1;
318457;20;0.6;0.2;
338551;3;0.6;1.0;
189688;29;0.6;0.2;
186083;0;0.6;0.1;
312430;46;0.6;0.6;
316663;20;0.6;1.0;
300453;28;0.6;0.6;
181974;0;0.6;0.1;
338113;70;0.6;0.4;
317278;38;0.6;0.8;
333337;0;0.6;0.25;
332264;0;0.6;0.25;
159906;28;0.6;0.1;
311508;20;0.6;1.0;
125125;70;0.6;0.1;
333323;0;0.6;0.1;
326869;43;0.6;1.0;
278610;0;0.6;0.6;
313809;37;0.6;0.4;
197873;0;0.6;0.1;
261459;20;0.6;0.6;
126740;50;0.6;0.8;
113546;39;0.6;0.1;
248777;20;0.6;0.8;
101118;20;0.6;0.8;
345027;0;0.6;0.55;
226905;20;1.0;0.1;
102868;20;0.6;0.1;
154899;75;0.6;1.0;
310785;68;0.6;0.4;
179839;0;0.6;0.2;
344449;11;0.6;0.1;
338819;59;0.6;0.2;
236291;27;0.6;0.2;
112750;0;0.6;0.6;
341680;0;0.6;0.4;
280378;66;0.6;0.2;
333401;10;0.6;0.2;
93087;84;0.6;0.1;
288944;86;0.6;0.8;
325576;35;0.6;0.4;
140514;15;0.6;0.6;
313455;219;0.6;0.4;
345908;0;0.6;0.55;
344112;15;0.6;0.4;
327842;0;0.6;0.4;
333199;90;0.6;0.1;
328104;139;0.6;0.4;
344366;0;0.6;0.7;
235862;61;0.6;0.2;
333812;38;0.6;0.2;
156532;0;0.6;0.1;
346101;11;0.6;0.55;
344720;0;0.6;0.4;
214695;50;0.6;0.8;
296156;48;0.6;0.1;
100203;46;0.6;0.8;
325877;132;0.6;1.0;
345189;0;0.6;1.0;
284250;40;0.6;0.4;
287644;0;0.6;0.1;
152837;5;0.6;0.1;
339627;76;0.6;1.0;
162376;58;0.6;0.8;
342937;0;0.6;1.0;
322004;0;0.6;0.4;
331281;53;0.6;0.4;
331817;0;0.6;0.1;
173699;0;0.6;0.1;
343888;48;0.6;0.6;
344276;26;0.6;0.4;
189569;0;0.6;0.1;
345930;0;0.6;1.0;
331736;25;0.6;1.0;
315806;75;0.6;0.2;
343916;0;0.6;0.55;
272421;0;0.6;0.4;
340366;42;0.6;0.7;
280798;7;0.6;0.4;
146477;20;0.6;0.1;
338442;35;0.6;0.2;
175735;35;0.6;0.1;
339676;53;0.8;0.4;
318387;0;0.6;0.4;
201057;89;0.6;0.1;
334032;3;0.6;0.4;
283227;59;0.6;1.0;
339061;0;0.6;0.2;
302579;0;0.6;0.8;
328184;83;0.6;0.2;
298533;0;0.6;0.8;
334706;0;0.6;0.1;
268913;0;0.6;0.4;
302577;0;0.6;0.1;
311549;1;0.6;0.4;
344290;38;0.6;0.6;
323429;27;0.6;1.0;
192098;66;0.6;0.2;
190947;62;0.6;1.0;
319396;20;0.6;0.4;
282866;20;0.6;0.1;
334485;34;0.6;0.1;
344940;0;0.6;0.1;
160005;39;0.6;0.6;
226876;0;0.6;1.0;
333941;60;0.6;0.6;
141855;100;0.6;0.4;
315141;28;0.6;0.4;
178581;33;0.6;0.1;
176809;16;0.6;0.1;
306373;49;0.6;0.8;
317576;0;0.6;0.4;
332600;0;0.6;0.4;
186084;2;0.6;1.0;
163654;33;0.6;0.6;
141071;15;0.6;0.6;
330843;120;0.6;0.2;
342507;0;0.6;1.0;
325039;3;0.6;0.2;
129368;0;0.6;0.2;
335941;0;0.6;1.0;
319761;29;0.6;0.4;
195689;33;0.6;1.0;
153843;0;0.6;0.1;
340756;52;0.6;0.2;
171183;61;0.6;0.4;
241502;40;1.0;0.1;
340521;33;0.6;0.85;
333329;93;0.6;0.55;
186081;28;0.6;0.1;
200319;39;0.6;0.4;
339574;0;0.6;0.8;
160988;39;0.6;1.0;
345602;31;0.6;1.0;
338270;0;0.6;1.0;
279318;0;0.6;0.1;
112525;53;0.6;0.2;
328569;0;0.6;0.1;
78259;49;0.6;0.2;
140024;20;0.6;1.0;
325807;0;0.6;0.6;
345003;2;0.6;0.2;
324129;20;0.6;0.4;
227290;20;0.6;0.2;
126731;0;0.6;0.2;
313549;18;0.6;0.8;
336085;0;0.6;0.6;
318595;0;0.6;0.4;
121088;24;0.6;0.6;
226797;20;0.6;0.1;
333050;0;0.6;0.4;
153197;0;0.6;0.1;
175854;0;0.6;0.1;
307102;0;0.6;0.4;
138956;37;0.6;0.1;
331929;88;0.6;0.4;
331299;0;0.6;0.8;
344976;31;0.6;0.4;
332122;41;0.6;0.4;
243499;0;0.6;1.0;
342321;27;0.6;0.4;
203355;47;0.6;1.0;
318546;44;0.6;0.1;
44908;424;0.6;0.1;
338236;5;0.6;0.6;
181991;44;0.8;0.1;
244699;2;0.6;0.1;
333636;25;0.6;0.4;
345541;0;0.6;1.0;
153183;71;0.6;0.2;
333517;22;0.6;0.4;
224194;34;0.6;0.1;
76205;0;0.6;0.1;
89576;0;0.6;0.4;300453,
189178;0;0.6;0.1;
256379;35;0.6;0.8;
207533;29;0.6;0.1;
335760;50;0.6;1.0;
243740;13;0.6;1.0;
313581;8;0.6;1.0;
343313;31;0.6;0.4;
335545;45;0.6;0.6;
309096;58;0.6;0.4;
324024;0;0.6;1.0;
171163;31;0.6;0.6;
159138;0;0.6;0.6;
215723;35;0.6;0.2;
160529;128;0.6;0.8;
345775;0;0.6;0.2;
324376;0;0.6;0.4;
292485;0;0.6;0.4;
193009;27;0.6;0.1;
320375;0;0.6;0.2;
345542;0;0.6;1.0;
201055;13;0.6;0.8;
241877;20;0.6;0.8;
92337;67;0.6;0.1;
330419;0;0.6;0.8;
294050;0;0.6;0.6;
122195;27;0.6;0.6;
117648;34;0.6;0.1;
324386;81;0.6;0.4;
304342;0;0.6;0.1;
174486;40;0.6;0.1;
344504;40;0.6;0.4;
187408;65;0.6;0.4;
101457;50;0.6;0.2;
344414;0;0.6;0.1;
172208;1;0.6;0.1;
344442;12;0.6;0.4;
82430;40;0.6;0.4;
145294;3;0.6;1.0;
127549;95;0.6;0.6;
328170;0;0.6;0.4;
339337;4;0.6;0.4;
342986;0;0.6;0.55;
191028;9;0.6;0.2;
134346;20;0.6;1.0;
236367;27;0.6;0.2;
129204;0;0.6;0.6;
328728;16;0.6;1.0;
331688;37;0.6;0.2;
345356;0;0.6;0.1;
90863;25;0.6;0.1;
311524;57;0.6;0.1;
333656;0;0.6;0.2;
198625;40;0.6;0.1;
333203;0;0.6;0.4;
333967;29;0.6;1.0;
293901;31;0.6;0.4;
